Class	Rank	Thes	Engl	Phon	Chinese	Latin	Loglan	Xref	!Word	Lojban	definition (*=obj cpd, +n=1st case merge, -n=2nd case merge, Sn=set members, Pn=pairwise, @=merge but no cpd, ?=special merge, = =as needed)	Comments (c=ch,q=sh,x=zh,#=schwa,i=ee,y=bin,w=ng)
class		selmaho	gloss					See also	valsi	symbol => is for matching places to gaspo	definition	notes
t		0.0.0	Structure Words	-	-	-			000			
t		0.1.0	Morphology, Cases and Organization	-	-	-			010			
t		0.1.1	Grammar and Transformations	-	-	-			011			
S		0.1.1	cancel,that~is	-	-	-	-	-	fa		the previous phrase at the same level as -fa is removed and replaced by what follows	Not for explanatory that~is, for which use |va.
S	30	0.1.1	and,or,conjunction	-	-	-	.e	fy,tla,stl	fe		$x_1=$ and following arguments conjoin	As in the Cartesian expansion of a single argument.  Use -tla or -stl to make a set.
S	43	0.1.1	upjump	-	-	-			fi		grammatical level one to three	/fi gives 1, ^fi gives 2, !fi gives 3.
S		0.1.1	begin	-	-	-	-	-	fl		beginning of group	Not supported in present grammar.
S		0.1.1,0.2.1	foreign,metaphor	-	-	-		qo,fw	fn		event (vo) $x_1+$ is represented by metaphor $x_2?$	X2 is a sequence of foreign syllables to end of compounding tone.  -fn with X2 make a subordinate clause.
S		0.1.1	foreign	-	-	-		qo	fo		$x_1$ is in the referent set of a foreign word	The word follows to end of compound tone.
S		0.1.1	end	-	-	-			fr		end of group	Not supported in present grammar.
S		0.1.1	jump	-	-	-	gu		fu		jump two to four grammatical levels up	!fu gives 2 up, ^fu gives 3 up, /fu gives 4 up.
S	13	0.1.1	and	-	-	-	.e	fe,tla,stl	fy		retroactive downjump: previous argument at same level as fy goes down one level and becomes the first case of the following predicate	Often used with -tla and -stl for afterthought group arguments.
S	33	0.1.1	foreign~name	-	-	-		qu,fo	qo		$x_1$ is what a foreign word names	The foreign name follows, to end of compound tone.
t		0.1.2	Conversions	-	-	-			012			The specified case, wherever permuted to by prior conversions, is exchanged with the current first sequential case.  The conversion closer to the predicate occurs first.
S	21	0.1.2	3rd~1st	-	-	-	fu		za		conversion, 3rd case to 1st	
S		0.1.2	4th~1st	-	-	-	ju		ze		conversion, 4th case to 1st	
S		0.1.2	5th~1st	-	-	-	hu		zi		conversion, 5th case to 1st	
S		0.1.2	4th~2nd	-	-	-	-		zl		conversion, 4th case to 2nd	
S		0.1.2	1st~3rd	-	-	-	fu		zm		conversion, 1st case to 3rd	Resulting order is 2, 3, 1.
S		0.1.2	1st~1st	-	-	-			zo		conversion, 1st case to 1st	Suppresses any automatic conversion.
S		0.1.2	3rd~2nd	-	-	-	-		zr		conversion, 3rd case to 2nd	
S	89	0.1.2	2nd~1st	-	-	-	nu		zu		conversion, 2nd case to 1st	
S		0.1.2	5th~2nd	-	-	-	-		zy		conversion, 5th case to 2nd	
t		0.1.3	Caselinks	-	-	-			013			The linked argument fills the specified case by number independent of any conversions.
S	35	0.1.3	3rd~link	-	-	-	pui		sa		caselink, 3rd case	
S		0.1.3	4th~link	-	-	-	puo		se		caselink, 4th case	
S		0.1.3	5th~link	-	-	-	puu		si		caselink, 5th case	
S		0.1.3	1st~link	-	-	-	pua		so		caselink, 1st case	
S		0.1.3	fence	-	-	-	-		sr		argument fence	In an infinitive compound the following infinitive will not eat arguments.
S		0.1.3	2nd~link	-	-	-	pue		su		caselink, 2nd case	
t		0.2.0	Prefixes	-	-	-			020			Prefixes come first in a compound predicate.  Sub-phrases may follow any prefix or the complete predicate.
t		0.2.1	Link Words for Clauses and Sentences	-	-	-			021			Sentence start prefixes are at the root grammatical level.
S	29	0.2.1	then	-	-	-	zia		:a	.i ba bo	sentence start, next in sequence or time of occurrence	
S	26	0.2.1	and	-	-	-	.ice		:e		sentence start, another item similar to previous sentence	
S	259	0.2.1	start,period	-	-	-	.i		:i	.i	main sentence start	
S		0.2.1	end	-	-	-			:l	fa'o	end of transmission	Signifies that the speaker will not speak any more.
S	24	0.2.1	conjunction	-	-	-	.i		:o		retroactive downjump of sentence	The previous sentence becomes an infinitive with !vo and becomes the first case of the sentence now beginning
S		0.2.1	follow-on	-	-	-	.i		:u		start of follow-on sentence with coordinated pronoun referents	Pronouns and :o respond as if the joined sentences were just one sentence.
S		0.2.1	metaphor	-	-	-		qo,fn	fw		event (vo) $x_1+$ is represented by metaphor $x_2?$	X1 is a \guaspi\  phrase, not foreign.  -fw with X2 makes a subordinate clause.
S		0.2.1,1.5.5	which,subordinate,attitude	-	-	-	juo		va		subordinate assertion	An independent assertion about the restricted sentence or argument.  Missing argument defaults to -ji.  Use for attitudinals.
S		0.2.1	which,subordinate	-	-	-	juo		ve		subordinate comment	A supplementary explanation.  Missing argument defaults to -xdro.
S	14	0.2.1,1.5.5	discursive,subordinate	-	-	-	juo		vi		discursive comment	A subordinate assertion relating restricted phrase to previous discourse.  Missing argument defaults to -zgly.
S	23	0.2.1	to,infinitive	-	-	-	po	vn	vo		event $x_1:$ is a member of the referent set of sentence $x_2?$	To restrict the infinitive rather than the phrase, use -xe |R /vo P 
S	11	0.2.1	which,subordinate	-	-	-	juo		vu	poi?	restrictive subordinate clause	The restricted relation events must fit this sentence also.  Missing argument defaults to -xdro.
t		0.2.2	Articles	-	-	-			022			Articles specify a subset of the full referent set of the argument.  The set may stay a set or may expand into its members.
S		0.2.2	phrase~name	-	-	-		qo	qu		$x_1$ is what the following phrase names	For \guaspi\ predicate names.
S		0.2.2	each	-	-	-			vy		all members of argument's referent subset must fit in parent relation, or sentence is false.	
S		0.2.2	independent	-	-	-			vl		argument's referent is chosen independently of other instances	
S		0.2.2	inter~alia,each~other,reflexive	-	-	-			vr		argument's referent is chosen independently of other instances except may not be same as that of the other instances	Example: -:i !A ^fe -B /(word) !vr -zdmo
S		0.2.2	argument	-	-	-		vo	vn		despite default words this phrase is an argument, not an infinitive	
S	11	0.2.2	all	-	-	-	lea		xa		whole referent set in extension	
S		0.2.2	the	-	-	-	le		xe		in-mind elements of referent set, in extension	
S	17	0.2.2	typical,mostly	-	-	-	loe		xi		typical elements of referent set, in extension	A few in-mind elements are excluded.  On sentence predicate, means ``for the most part''.
S		0.2.2	none,nothing,nobody	-	-	-			xn		no members of referent set in extension	Makes negated statement about all referent set members.  There is only one null set so it is meaningless to make statements about its members.  !xn -jy means ``nothing''.
S	28	0.2.2	some,any,a	-	-	-	lo		xo		any elements of referent set, in extension	As in: give me a nail, any one will do.  Common with serving-portion words.
S		0.2.2	typical*	-	-	-			xr		typical elements of referent set, as set	A few in-mind elements are excluded.
S		0.2.2	all*	-	-	-	lua		xu		whole referent set, as set	
S		0.2.2	some*,any,a	-	-	-			xw		any elements of referent set, as set	Example: give me a pair of your dollars; it's not important which ones.
S		0.2.2	the*	-	-	-	lue		xy		in-mind elements of referent set, as set	
t		0.2.3	Quotations	-	-	-			023			
S		0.2.3	quote~endmark	-	-	-	lu		ba		endmark for quote starting with -be	
S		0.2.3	quote	-	-	-	li		be		$x_1$ is an instance of a string to endmark -ba	The stuffing is considered foreign.
S		0.2.3	quote	-	-	-			bi		$x_1$ is an instance of the following phrase $x_2?$ as language	Transforms as an infinitive similar to -vo.
S		0.2.3	reference	-	-	-	lae		bn		the referent of the following argument is inserted here	The referent is supposed to be a text.
S		0.2.3	quote	-	-	-			bo		text $x_1$ has the same referent as the following phrase $x_2?$	The phrase is an inexact quote meaning about the same as the original.  Transforms as an infinitive like -vo.
S		0.2.3	quote	-	-	-	lie		br		$x_1$ is an instance of a delimited string	The next word is the delimiter; the stuffing, considered foreign, runs until the delimiter recurs.
S		0.2.3	quote	-	-	-	liu		bu		$x_1$ is an instance as language of the following words to end of compounding tone	-bu itself may be quoted; if so, it has no effect.
t		0.2.4	Names and Modal Cases	-	-	-			024			The following predicate specifies the modal case.  Each has a stack on which values can be saved and later restored.
S	31	0.2.4	modal~pop	-	-	-			qa		the modal argument stack for the following predicate is popped	
S	28	0.2.4	modal~save	-	-	-		qy,qi	qe		$x_1$ becomes the default modal argument for the following predicate	The prior default is saved on its stack.
S	14	0.2.4	modal~new	-	-	-		qe,qy	qi		$x_1$ is the default modal argument for the following predicate	The previous default is replaced by X1.  The previous default is lost.
S	55	0.2.4	dialogue	-	-	-		qr	ql		the speaker and listener modal cases are exchanged	
S		0.2.4	modal~swap	-	-	-		ql	qr		the modal argument stack for the following predicate has its top two elements interchanged	
S		0.2.4	modal~test	-	-	-		qe,qi	qy		$x_1$ is the default modal argument for the following predicate	The default is not changed; the sentence is simply true or false.
t		0.2.5	Mood Markers	-	-	-			025			
S		0.2.5	performative	-	-	-		tri	ga		by being uttered the phrase makes something happen	Example: ``I do'' in marriage.
S		0.2.5	affirm,factual,real,yes	-	-	-		go,qtr,qkr,po,dve	ge		the phrase is asserted to be real or factual	
S		0.2.5	potential	-	-	-			gi		the phrase is potentially true	Actual truth is irrelevant
S		0.2.5	hypothesis,subjunctive	-	-	-		poa	gu		the phrase is hypothetical	Reality is irrelevant, and the listener should interpret the words as if the phrase were true (subjunctive mood).
S	17	0.2.5,1.5.4	non-,negative,not	-	-	-	bufpo	gr,ver	gl		central negation	Makes predicate vanish, e.g. red-gray, above-beside, happy-bored.  Also works on central property, e.g. -gl-xbr = slanted, not level.
S		0.2.5,1.5.4	not,unreal,no	-	-	-		ge,tso,po	go		this phrase is unreal or counter to fact	Contradictory negation; the sentence is not true but doesn't say what is true.
S	18	0.2.5,1.5.4	un-,opposite,negative,not	-	-	-	bufpo	gl,ver	gr		scale negation	Makes predicate opposite, e.g. red-cyan, above-below, happy-sad.
t		0.3.0	Pronouns	-	-	-			030			A pronoun or a modal default represents words, called its antecedent.  Remove the pronoun and substitute the antecedent for it.
t		0.3.1	Same Phrase	-	-	-			031			
P		0.3.1	3rd~same	-	-	-			zdma		pronouns: Same Phrase 3rd case	
P		0.3.1	4th~same	-	-	-			zdme		pronouns: Same Phrase 4th case	
P		0.3.1	5th~same	-	-	-			zdmi		pronouns: Same Phrase 5th case	
P		0.3.1	previous	-	-	-			zdml		pronouns: Same Phrase, the sequentially previous subphrase	
P		0.3.1	1st~same	-	-	-			zdmo		pronouns: Same Phrase 1st case	
P		0.3.1	2nd~same	-	-	-			zdmu		pronouns: Same Phrase 2nd case	
P		0.3.1	sentence~same	-	-	-			zdmy		pronouns: Same Phrase whole sentence	
t		0.3.2	Restricted Phrase	-	-	-			032			The restricted phrase is two levels up from the pronoun, which refers to its other sub-phrases.
P		0.3.2	3rd~restricted	-	-	-			xdra		pronouns: Restricted Phrase 3rd case	
P		0.3.2	4th~restricted	-	-	-			xdre		pronouns: Restricted Phrase 4th case	
P		0.3.2	5th~restricted	-	-	-			xdri		pronouns: Restricted Phrase 5th case	
P		0.3.2	1st~restricted	-	-	-			xdro		pronouns: Restricted Phrase 1st case	
P		0.3.2	2nd~restricted	-	-	-			xdru		pronouns: Restricted Phrase 2nd case	
P		0.3.2	sentence~restricted	-	-	-			xdry		pronouns: Restricted Phrase whole sentence	
t		0.3.3	Enclosing Main-Level Sentence	-	-	-			033			
P		0.3.3	3rd~main	-	-	-			xgna		pronouns: Enclosing Main-Level Sentence, 3rd case	
P		0.3.3	4th~main	-	-	-			xgne		pronouns: Enclosing Main-Level Sentence, 4th case	
P		0.3.3	5th~main	-	-	-			xgni		pronouns: Enclosing Main-Level Sentence, 5th case	
P		0.3.3	discourse,sequel,title	-	-	-		xim	xgnl		pronouns: This and following discourse	For a title, put xgnl in X1 of xim.
P		0.3.3	1st~main	-	-	-			xgno		pronouns: Enclosing Main-Level Sentence, 1st case	
P		0.3.3	2nd~main	-	-	-			xgnu		pronouns: Enclosing Main-Level Sentence, 2nd case	
P		0.3.3	sentence~main	-	-	-			xgny		pronouns: Enclosing Main-Level Sentence, whole sentence	
t		0.3.4	Previous Main-Level Sentence	-	-	-			034			
P		0.3.4	3rd~previous	-	-	-			zgla		pronouns: Previous Main-Level Sentence, 3rd case	
P		0.3.4	4th~previous	-	-	-			zgle		pronouns: Previous Main-Level Sentence, 4th case	
P		0.3.4	5th~previous	-	-	-			zgli		pronouns: Previous Main-Level Sentence, 5th case	
P		0.3.4	discourse	-	-	-			zgln		pronouns: Previous discourse in general	
P		0.3.4	1st~previous	-	-	-			zglo		pronouns: Previous Main-Level Sentence, 1st case	
P		0.3.4	event	-	-	-			zglr		pronouns: the event that just happened or that continues to happen now	
P		0.3.4	2nd~previous	-	-	-			zglu		pronouns: Previous Main-Level Sentence, 2nd case	
P	24	0.3.4	sentence~previous	-	-	-			zgly		pronouns: Previous Main-Level Sentence, whole sentence	
t		0.3.5	Sentence to which Replies are Directed	-	-	-			035			
P		0.3.5	3rd~reply	-	-	-			vgra		pronouns: Sentence to which Replies are Directed, 3rd case	
P		0.3.5	4th~reply	-	-	-			vgre		pronouns: Sentence to which Replies are Directed, 4th case	
P		0.3.5	5th~reply	-	-	-			vgri		pronouns: Sentence to which Replies are Directed, 5th case	
P		0.3.5	1st~reply	-	-	-			vgro		pronouns: Sentence to which Replies are Directed, 1st case	
P		0.3.5	2nd~reply	-	-	-			vgru		pronouns: Sentence to which Replies are Directed, 2nd case	
P	15	0.3.5	sentence~reply	-	-	-			vgry		pronouns: Sentence to which Replies are Directed, whole sentence	
t		0.3.6	Personal Pronouns	-	-	-			036			
S		0.3.6	imperative,lets	-	-	-			ja		(xa) $x_1M2$ we, imperative	The speaker and the commandee (listener) in an imperative sentence.
S		0.3.6	we	-	-	-			je		(xa) $x_1M2$ we	The speaker and the listener.
S	132	0.3.6	i,me,speaker	-	-	-			ji		$x_1M2$ I, the speaker	
S		0.3.6	something,somebody	-	-	-			jl		something	An anonymous variable as in Prolog.
S		0.3.6	that	-	-	-			jm		an alternate object being shown	
S		0.3.6	now,present	-	-	-			jn		$x_1M4$ now	Default for time modal case or present time.
S	48	0.3.6	imperative,you	-	-	-			jo		$x_1M3$ you, imperative	The commandee, the listener in an imperative sentence.
S		0.3.6	place,here	-	-	-		jir	jr		$x_1M5$ here	Default for place modal case or present place.
S	77	0.3.6	you	-	-	-			ju		$x_1M3$ you, the listener	
S	20	0.3.6	this	-	-	-			jw		an object being shown	
S	10	0.3.6	which,something	-	-	-			jy		something	The open case of an argument, occuring by default in the first case after conversion.
t		0.3.7	Question Pronouns	-	-	-			037			The listener's reply is supposed to be the pronoun's antecedent.
